person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
22,female,Master,7194800%,0%,RENT,3500000%,PERSONAL,1602%,49%,3,561,No,100%
21,female,High School,1228200%,0%,OWN,100000%,EDUCATION,1114%,8%,2,504,Yes,0%
25,female,High School,1243800%,300%,MORTGAGE,550000%,MEDICAL,1287%,44%,3,635,No,100%
23,female,Bachelor,7975300%,0%,RENT,3500000%,MEDICAL,1523%,44%,2,675,No,100%
24,male,Master,6613500%,100%,RENT,3500000%,MEDICAL,1427%,53%,4,586,No,100%
21,female,High School,1295100%,0%,OWN,250000%,VENTURE,714%,19%,2,532,No,100%
26,female,Bachelor,9347100%,100%,RENT,3500000%,EDUCATION,1242%,37%,3,701,No,100%
24,female,High School,9555000%,500%,RENT,3500000%,MEDICAL,1111%,37%,4,585,No,100%
24,female,Associate,10068400%,300%,RENT,3500000%,PERSONAL,890%,35%,2,544,No,100%
21,female,High School,1273900%,0%,OWN,160000%,VENTURE,1474%,13%,3,640,No,100%
22,female,High School,10298500%,0%,RENT,3500000%,VENTURE,1037%,34%,4,621,No,100%
21,female,Associate,1311300%,0%,OWN,450000%,HOMEIMPROVEMENT,863%,34%,2,651,No,100%
23,male,Bachelor,11486000%,300%,RENT,3500000%,VENTURE,790%,30%,2,573,No,100%
26,male,Master,13071300%,0%,RENT,3500000%,EDUCATION,1839%,27%,4,708,No,100%
23,female,Associate,13899800%,0%,RENT,3500000%,EDUCATION,790%,25%,4,583,No,0%
23,female,Master,60089100%,500%,MORTGAGE,3000000%,DEBTCONSOLIDATION,1065%,5%,3,670,Yes,0%
23,male,Bachelor,14494300%,0%,RENT,3500000%,EDUCATION,790%,24%,4,663,No,0%
23,female,High School,11136900%,0%,RENT,3500000%,MEDICAL,2000%,31%,4,694,No,100%
23,male,Bachelor,13662800%,0%,RENT,3500000%,DEBTCONSOLIDATION,1825%,26%,4,709,No,100%
24,female,Master,1428300%,100%,MORTGAGE,175000%,EDUCATION,1099%,12%,2,679,No,100%
25,male,Bachelor,19571800%,0%,RENT,3500000%,VENTURE,749%,18%,4,684,Yes,0%
25,male,High School,16579200%,400%,RENT,3480000%,PERSONAL,1677%,21%,2,662,No,0%
22,female,Master,7925500%,0%,RENT,3400000%,EDUCATION,1758%,43%,4,691,No,100%
24,female,Bachelor,1386600%,0%,OWN,150000%,PERSONAL,729%,11%,3,600,Yes,0%
22,male,Bachelor,9742000%,100%,RENT,3395000%,PERSONAL,1454%,35%,4,691,No,100%
24,female,High School,8244300%,0%,RENT,3300000%,HOMEIMPROVEMENT,1268%,40%,3,654,No,100%
21,female,Associate,1428800%,0%,MORTGAGE,457500%,VENTURE,1774%,32%,3,626,No,100%
23,male,High School,1429300%,0%,OWN,140000%,PERSONAL,932%,10%,3,607,No,0%
